Year	PM2	PM10	Notes	Notes	Year	City	Country
2014	8	20	-	converted from PM2.5	2014	Upper Hunter	Australia
2014	8	21	"1 station, Rural (small town)"	measured data	2014	Wagga Wagga	Australia
2014	7	16	"1 station, rural (small town)"	measured data	2014	Whyalla	Australia
2014	7	17	"3 stations, Residential (outer urban)"	measured data	2014	Wollongong	Australia
2014	6	15	"1 station, Residential (outer urban)"	measured data	2014	Wyong	Australia
2013	10	14	"1 station, industrial, suburban"	measured data	2013	ARNOLDSTEIN	Austria
2013	12	16	-	converted from PM2.5	2013	BAD ISCHL	Austria
2013	13	18	"1 station, background, suburban"	measured data	2013	BAD VöSLAU	Austria
2013	15	20	"1 station, traffic, suburban"	measured data	2013	BIEDERMANNSDORF	Austria
2013	13	18	"1 station, background, suburban"	measured data	2013	BLUDENZ	Austria
2013	18	24	"1 station, background, suburban"	measured data	2013	BRUCK AN DER MUR	Austria
2013	16	22	"1 station, background, suburban"	measured data	2013	DEUTSCHLANDSBERG	Austria
2013	14	19	"1 station, background, urban"	measured data	2013	DORNBIRN	Austria
2013	15	20	"1 station, background, rural"	measured data	2013	EBENTHAL	Austria
2013	19	24	"1 station, background, suburban"	measured data	2013	EISENSTADT	Austria
2013	17	23	"1 station, traffic, urban"	measured data	2013	FELDKIRCH	Austria
2013	19	26	"1 station, background, suburban"	measured data	2013	FüRSTENFELD	Austria
2013	15	21	"1 station, background, suburban"	measured data	2013	Gänserndorf	Austria
2013	19	25	"5 stations, background suburban"	measured data	2013	GRAZ	Austria
2013	18	24	-	converted from PM2.5	2013	GROSSENZERSDORF	Austria
2013	18	24	"1 station, traffic, urban"	measured data	2013	HALL IN TIROL	Austria
2013	18	24	"1 station, traffic, urban"	measured data	2013	HALLEIN	Austria
2013	17	24	"1 station, background, suburban"	measured data	2013	HARTBERG	Austria
2013	10	13	"1 station, traffic, rural"	measured data	2013	HEITERWANG	Austria
2013	17	23	"1 station, traffic, suburban"	measured data	2013	HIMBERG	Austria
2013	16	21	"1 station, traffic, rural"	measured data	2013	HöCHST	Austria
2013	13	18	"1 station, traffic, rural"	measured data	2013	IMST	Austria
2013	14	21	"2 stations, traffic, urban"	measured data	2013	INNSBRUCK	Austria
2013	13	17	"1 station, background, suburban"	measured data	2013	JUDENBURG	Austria
2013	13	18	"1 station, background, urban"	measured data	2013	KAPFENBERG	Austria
2013	15	20	"1 station, traffic, urban"	measured data	2013	KEMATEN	Austria
2013	14	23	"2 stations, traffic, urban"	measured data	2013	KLAGENFURT	Austria
2013	20	27	"1 station, traffic, urban"	measured data	2013	KLOSTERNEUBURG	Austria
2013	16	21	"1 station, background, urban"	measured data	2013	KNITTELFELD	Austria
2013	17	24	"1 station, background, urban"	measured data	2013	KREMS	Austria
2013	13	17	"1 station, traffic, urban"	measured data	2013	KUFSTEIN	Austria
2013	14	20	"2 stations, background, urban"	measured data	2013	LEOBEN	Austria
2013	15	20	"1 station, traffic, urban"	measured data	2013	LIENZ	Austria
2013	15	20	"1 station, background, suburban"	measured data	2013	LIEZEN	Austria
2013	17	26	"3 stations, background, urban"	measured data	2013	LINZ	Austria
2013	15	20	"2 stations, background, urban"	measured data	2013	LUSTENAU	Austria
2013	15	21	"1 station, background, suburban"	measured data	2013	MöDLING	Austria
2013	13	17	"1 station, background, suburban"	measured data	2013	MüRZZUSCHLAG	Austria
2013	16	25	"1 station, traffic, urban"	measured data	2013	SALZBURG	Austria
2013	18	24	"1 station, industrial, urban"	measured data	2013	SANKT ANDRä IM LAVANTTAL	Austria
2013	18	24	"1 station, background, suburban"	measured data	2013	SANKT POELTEN	Austria
2013	16	22	"1 station, background, urban"	measured data	2013	SANKT VEIT AN DER GLAN	Austria
2013	15	20	"1 station, traffic, suburban"	measured data	2013	SCHWAZ	Austria
2013	17	23	"1 station, traffic, suburban"	measured data	2013	SCHWECHAT	Austria
2013	15	20	"1 station, background, suburban"	measured data	2013	SPITTAL AN DER DRAU	Austria
2013	15	20	"1 station, background, suburban"	measured data	2013	STEYR	Austria
2013	19	26	"1 station, industrial, suburban"	measured data	2013	STEYREGG	Austria
2013	17	23	"1 station, traffic, suburban"	measured data	2013	STOCKERAU	Austria
2013	16	22	"1 station, background, rural-regional"	measured data	2013	TRAISMAIER	Austria
2013	16	22	"1 station, background, suburban"	measured data	2013	TULLN	Austria
2013	14	19	"1 station, traffic, urban"	measured data	2013	VILLACH	Austria
2013	15	21	-	converted from PM2.5	2013	VöCKLABRUCK	Austria
2013	19	26	"1 station, traffic, suburban"	measured data	2013	WEIZ	Austria
2013	18	23	"1 station, background, urban"	measured data	2013	WELS	Austria
2013	18	26	"9 stations, traffic, urban"	measured data	2013	WIEN	Austria
2013	16	23	"1 station, traffic, suburban"	measured data	2013	WIENER NEUDORF	Austria
2013	13	18	"1 station, background, suburban"	measured data	2013	WIENER NEUSTADT	Austria
2013	19	26	"1 station, traffic, urban"	measured data	2013	WOLFSBERG	Austria
2013	15	20	"1 station, traffic, suburban"	measured data	2013	WöRGL	Austria
2013	16	21	"1 station, background, suburban"	measured data	2013	ZELTWEG	Austria
2012	66	318	"1 station, 1 Residential urban station"	measured data	2012	Hamad Town	Bahrain
2012	41	178	"1 station, 1 Residential urban station"	measured data	2012	Hidd	Bahrain
2012	64	257	"1 station, 1 Residential Industrial station (Mixed)"	measured data	2012	Ma'ameer	Bahrain
2012	58	244	"1 station, 1 Urban background station"	measured data	2012	Nabih Saleh	Bahrain
2012	44	250	"1 station, 1 Rural background station"	measured data	2012	Ras Hayan	Bahrain
2014	85	142	"1 station, NA"	measured data	2014	Barisal	Bangladesh
2014	95	135	"2 stations, NA"	measured data	2014	Chittagong	Bangladesh
2014	90	158	"3 stations, NA"	measured data	2014	Dhaka	Bangladesh
2014	89	155	"1 station, NA"	measured data	2014	Gazipur	Bangladesh
2014	61	109	"1 station, NA"	measured data	2014	Khulna	Bangladesh
2014	106	191	"1 station, NA"	measured data	2014	Narayangonj	Bangladesh
2014	37	64	"1 station, NA"	measured data	2014	Rajshahi	Bangladesh
2014	61	170	"1 station, NA"	measured data	2014	Sylhet	Bangladesh
2013	16	23	"1 station, background, suburban"	measured data	2013	AARSCHOT	Belgium
2013	13	18	"1 station, background, rural"	measured data	2013	ANDENNE	Belgium
2013	17	27	"6 stations, background, urban"	measured data	2013	ANTWERPEN	Belgium
2013	17	26	"1 station, background, suburban"	measured data	2013	BERENDRECHT	Belgium
2013	10	15	"1 station, background, rural"	measured data	2013	BERTRIX	Belgium
2013	17	25	"1 station, background, urban"	measured data	2013	BOOM	Belgium
2013	17	25	-	converted from PM2.5	2013	BRUGGE	Belgium
2013	18	26	"6 stations, background, suburban"	measured data	2013	BRUSSELS	Belgium
2013	15	23	"4 stations, background suburban, traffic, urban"	measured data	2013	CHARLEROI	Belgium
2013	14	21	"1 station, background, suburban"	measured data	2013	CHATELET	Belgium
2013	15	20	"1 station, background, rural"	measured data	2013	CORROY LE GRAND	Belgium
2013	15	22	"1 station, background, rural"	measured data	2013	DESSEL	Belgium
2013	17	25	"1 station, background, suburban"	measured data	2013	DESTELBERGEN	Belgium
2013	17	31	"1 station, industrial, suburban"	measured data	2013	ENGIS	Belgium
2013	19	30	"1 station, industrial, suburban"	measured data	2013	EVERGEM	Belgium
2013	18	26	"1 station, industrial, urban"	measured data	2013	GENK	Belgium
2013	19	30	"2 stations, background, urban"	measured data	2013	GENT	Belgium
2013	11	15	"1 station, background, rural"	measured data	2013	HABAY LA NEUVE	Belgium
2013	18	24	"1 station, background, suburban"	measured data	2013	HASSELT	Belgium
2013	13	20	"1 station, background, urban"	measured data	2013	HERSTAL	Belgium
2013	19	28	"1 station, background, suburban"	measured data	2013	HOBOKEN	Belgium
2013	18	26	"1 station, industrial, suburban"	measured data	2013	HOEVENEN	Belgium
2013	15	23	"1 station, background, rural"	measured data	2013	LANDEN	Belgium
2013	15	22	"3 stations, background, suburban"	measured data	2013	LIEGE	Belgium
2013	17	25	"1 station, background, suburban"	measured data	2013	MECHELEN	Belgium
2013	18	27	"1 station, background, suburban"	measured data	2013	MENEN	Belgium
2013	16	24	"1 station, background, rural"	measured data	2013	MOERKERKE	Belgium
2013	16	28	"1 station, background, suburban"	measured data	2013	MONS	Belgium
2013	21	31	"1 station, industrial, rural"	measured data	2013	OOSTROZEBEKE	Belgium
2013	15	22	-	converted from PM2.5	2013	RETIE	Belgium
2013	19	28	"2 stations, background, suburban"	measured data	2013	ROESELAERE	Belgium
2013	9	13	"1 station, background, rural"	measured data	2013	SAINTE-ODE	Belgium
2013	16	25	"1 station, industrial, suburban"	measured data	2013	SERAING	Belgium
2013	11	16	"1 station, background, rural"	measured data	2013	SOMME-LEUZE	Belgium
2013	17	25	"1 station, background, suburban"	measured data	2013	STEENOKKERZEEL	Belgium
2013	14	21	"1 station, background, rural"	measured data	2013	TOURNAI	Belgium
2013	16	24	"1 station, background, rural"	measured data	2013	VEURNE	Belgium
2013	9	13	"1 station, background, rural"	measured data	2013	VIELSALM	Belgium
2013	18	27	"1 station, traffic, suburban"	measured data	2013	VILVOORDE	Belgium
2013	10	15	"1 station, background, rural"	measured data	2013	VIROINVAL	Belgium
2013	20	30	"1 station, industrial, suburban"	measured data	2013	ZELZATE	Belgium
2013	18	27	"1 station, background, suburban"	measured data	2013	ZWEVEGEM	Belgium
2013	20	29	"1 station, industrial, suburban"	measured data	2013	ZWIJNDRECHT	Belgium
2012	43	78	"4 stations, Mixed (residential, commercial or both), and Sensitive area (hospitals, schools, or sensitive ecosystem)"	measured data	2012	Thimphu	Bhutan
2014	32	60	"3 stations, Urban"	measured data	2014	Cochabamba	Bolivia
2013	44	82	"1 station, Urban"	measured data	2013	La Paz	Bolivia
2010	30	50	"1 station, background urban"	measured data	2010	SARAJEVO	Bosnia and Herzegovina
2010	65	106	-	converted from PM2.5	2010	TUZLA	Bosnia and Herzegovina
2014	16	36	"1 station, NA"	measured data	2014	"Americana, REGIÃO METROPOLITANA DE CAMPINAS"	Brazil
2014	16	34	"1 station, NA"	measured data	2014	"Araçatuba, INTERIOR DO ESTADO"	Brazil
2014	16	34	"1 station, NA"	measured data	2014	"Araraquara, INTERIOR DO ESTADO"	Brazil
2012	14	31	"3 stations, commercial and industrial"	measured data	2012	Araucária	Brazil
2014	13	28	"2 stations, NA"	measured data	2014	"Barra Mansa, REGIÃO DO MÉDIO PARAÍBA"	Brazil
2014	13	29	"1 station, NA"	measured data	2014	"Bauru, INTERIOR DO ESTADO"	Brazil
2014	16	35	"1 station, NA"	measured data	2014	"Campinas, REGIÃO METROPOLITANA DE CAMPINAS"	Brazil
2014	12	26	-	converted from PM2.5	2014	"Campos, REGIÃO DO NORTE FLUMINENSE"	Brazil
2014	13	29	"1 station, NA"	measured data	2014	"Canoas, REGIÃO METROPOLITANA DE PORTO ALEGRE"	Brazil
2014	9	20	"1 station, NA"	measured data	2014	"Cantagalo - Euclidelândia, REGIÃO SUL"	Brazil
2014	19	41	"1 station, NA"	measured data	2014	"Catanduva, INTERIOR DO ESTADO"	Brazil
2014	13	29	"1 station, NA"	measured data	2014	"Charqueadas, REGIÃO METROPOLITANA DE PORTO ALEGRE"	Brazil
2012	18	39	"1 station, commercial and industrial"	measured data	2012	Colombo	Brazil
2014	17	38	"1 station, NA"	measured data	2014	"Cordeirópolis – Módolo, INTERIOR DO ESTADO"	Brazil
2014	31	69	"3 stations, NA"	measured data	2014	"Cubatão, REGIÃO METROPOLITANA DA BAIXADA SANTISTA"	Brazil
2012	11	24	"3 stations, residential (Bairro), commercial, industrial"	measured data	2012	Curitiba	Brazil
2014	7	16	"1 station, NA"	measured data	2014	"Gravataí, REGIÃO METROPOLITANA DE PORTO ALEGRE"	Brazil
2014	18	46	"2 stations, NA"	measured data	2014	"Itaboraí , REGIÃO METROPOLITANA DO RIO DE JANEIRO"	Brazil
2014	14	31	"2 stations, NA"	measured data	2014	"Itaguaí, REGIÃO METROPOLITANA DO RIO DE JANEIRO"	Brazil
2014	17	38	"1 station, NA"	measured data	2014	"Jaboticabal, INTERIOR DO ESTADO"	Brazil
2014	11	25	"1 station, NA"	measured data	2014	"Jacarei, REGIÃO METROPOLITANA DO VALE DO PARAÍBA E LITORAL NORTE"	Brazil
2014	15	33	"1 station, NA"	measured data	2014	"Japeri, REGIÃO METROPOLITANA DO RIO DE JANEIRO"	Brazil
2014	11	25	"1 station, NA"	measured data	2014	"Jaú, INTERIOR DO ESTADO"	Brazil
2014	14	30	"1 station, NA"	measured data	2014	"Jundiaí, INTERIOR DO ESTADO"	Brazil
2014	19	41	"1 station, NA"	measured data	2014	"Limeira – Boa Vista, INTERIOR DO ESTADO"	Brazil
2014	5	12	"1 station, NA"	measured data	2014	"Madre de Deus, REGIÃO METROPOLITANA DE SALVADOR"	Brazil
2014	8	18	"1 station, NA"	measured data	2014	"Malembá, REGIÃO METROPOLITANA DE SALVADOR"	Brazil
2014	10	22	"1 station, NA"	measured data	2014	"Marília, INTERIOR DO ESTADO"	Brazil
2014	18	40	"2 stations, NA"	measured data	2014	"Paulínia, REGIÃO METROPOLITANA DE CAMPINAS"	Brazil
2014	15	38	"1 station, NA"	measured data	2014	"Piracicaba, INTERIOR DO ESTADO"	Brazil
2014	8	17	"1 station, NA"	measured data	2014	"Porto Real, REGIÃO DO MÉDIO PARAÍBA"	Brazil
2014	10	21	"1 station, NA"	measured data	2014	"Presidente Prudente, INTERIOR DO ESTADO"	Brazil
2014	12	27	"1 station, NA"	measured data	2014	"Quatis, REGIÃO DO MÉDIO PARAÍBA"	Brazil
2014	19	35	"24 stations, NA"	measured data	2014	REGIÃO METROPOLITANA DE SÃO PAULO	Brazil
2014	16	49	"26 stations, NA"	measured data	2014	REGIÃO METROPOLITANA DO RIO DE JANEIRO	Brazil
2014	13	29	"1 station, NA"	measured data	2014	"Resende, REGIÃO DO MÉDIO PARAÍBA"	Brazil
2014	26	56	"1 station, NA"	measured data	2014	"Rio Claro, INTERIOR DO ESTADO"	Brazil
2014	44	95	"1 station, NA"	measured data	2014	"Santa Gertrudes – Jd. Luciana, INTERIOR DO ESTADO"	Brazil
2014	18	39	"2 stations, NA"	measured data	2014	"Santos, REGIÃO METROPOLITANA DA BAIXADA SANTISTA"	Brazil
2014	16	39	"1 station, NA"	measured data	2014	"São José do Rio Preto, INTERIOR DO ESTADO"	Brazil
2014	14	30	"1 station, NA"	measured data	2014	"São José dos Campos, REGIÃO METROPOLITANA DO VALE DO PARAÍBA E LITORAL NORTE"	Brazil
2014	15	31	"1 station, NA"	measured data	2014	"Seropédica, REGIÃO METROPOLITANA DO RIO DE JANEIRO"	Brazil
2014	18	39	"1 station, NA"	measured data	2014	"Sorocaba, REGIÃO METROPOLITANA DE SOROCABA"	Brazil
2014	11	24	"1 station, NA"	measured data	2014	"Tatuí, REGIÃO METROPOLITANA DE SOROCABA"	Brazil
2014	14	33	"8 stations, background, suburban"	measured data	2014	"Volta Redonda, REGIÃO DO MÉDIO PARAÍBA"	Brazil
2013	28	39	"1 station, industrial, suburban"	measured data	2013	BLAGOEVGRAD	Bulgaria
2013	26	36	"3 stations, backgroundm, urban/suburban; industrial, suburban"	measured data	2013	Burgas	Bulgaria
2013	19	27	"1 station, industrial, suburban"	measured data	2013	Devnia	Bulgaria
2013	42	59	"1 station, background, suburban"	measured data	2013	Dimitrovgad	Bulgaria
2013	38	54	"1 station, industrial, urban"	measured data	2013	Dolny Voden	Bulgaria
2013	25	36	"1 station, background, urban"	measured data	2013	Galabovo	Bulgaria
2013	31	43	"1 station, background, urban"	measured data	2013	GORNA ORIAHOVICA	Bulgaria
2013	33	46	"1 station, background, urban"	measured data	2013	HASKOVO	Bulgaria
2013	28	40	"1 station, background, urban"	measured data	2013	Kardjaly	Bulgaria
2013	28	39	"1 station, background, urban"	measured data	2013	LOVECH	Bulgaria
2013	37	52	"1 station, background, urban"	measured data	2013	MONTANA	Bulgaria
2013	33	46	"1 station, background, suburban"	measured data	2013	Pazarjik	Bulgaria
2013	31	47	"2 stations, background, suburban"	measured data	2013	Pernik	Bulgaria
2013	26	36	"1 station, background, urban"	measured data	2013	Pirdop	Bulgaria
2013	30	42	"1 station, traffic, urban"	measured data	2013	Pleven	Bulgaria
2013	34	59	"2 stations, background, urban"	measured data	2013	Plovdiv	Bulgaria
2013	33	47	"1 station, background, urban"	measured data	2013	Ruse	Bulgaria
2013	27	38	"1 station, background, urban"	measured data	2013	Shumen	Bulgaria
2013	28	39	"1 station, traffic, urban"	measured data	2013	SLIVEN	Bulgaria
2013	31	43	"1 station, traffic, urban"	measured data	2013	Smolian	Bulgaria
2013	22	43	"6 stations, background, suburban"	measured data	2013	Sofia	Bulgaria
2013	13	42	"1 station, background, urban"	measured data	2013	Stara Zagora	Bulgaria
2013	36	51	"1 station, background, urban"	measured data	2013	Varna	Bulgaria
2013	26	40	"1 station, background, suburban"	measured data	2013	Veliko Tarnovo	Bulgaria
2013	28	39	"1 station, traffic, urban"	measured data	2013	Vratza	Bulgaria
2012	67	105	"1 station, commercial/residential"	measured data	2012	Bafoussam	Cameroon
2012	132	141	"1 station, residential/commercial"	measured data	2012	Bamenda	Cameroon
2012	49	65	"1 station, commercial/residential"	measured data	2012	Yaoudé	Cameroon
2013	7	12	"2 stations, NA"	measured data	2013	ABBOTSFORD	Canada
2013	3	5	-	converted from PM2.5	2013	AUCLAIR	Canada
2013	5	9	-	converted from PM2.5	2013	AYLESFORD	Canada
2013	7	12	-	converted from PM2.5	2013	BARRIE	Canada
2013	7	12	-	converted from PM2.5	2013	BATHURST	Canada
2013	8	14	-	converted from PM2.5	2013	BEAVERLODGE	Canada
2013	7	12	-	converted from PM2.5	2013	BELLEVILLE	Canada
2013	8	14	-	converted from PM2.5	2013	BRAMPTON	Canada
2013	6	14	"1 station, NA"	measured data	2013	BRANDON	Canada
2013	8	14	-	converted from PM2.5	2013	BRANTFORD	Canada
2013	10	17	"1 station, NA"	measured data	2013	BRUDERHEIM	Canada
2013	9	16	-	converted from PM2.5	2013	BURLINGTON	Canada
2013	6	10	"1 station, NA"	measured data	2013	BURNABY	Canada
2013	9	11	"1 station, NA"	measured data	2013	CALGARY	Canada
2013	4	7	-	converted from PM2.5	2013	CAROLINE	Canada
2013	7	13	"1 station, NA"	measured data	2013	CASTLEGAR	Canada
2013	8	14	-	converted from PM2.5	2013	CHARETTE	Canada
2013	8	14	-	converted from PM2.5	2013	CHATHAM	Canada
2013	6	12	"1 station, NA"	measured data	2013	CHILLIWACK	Canada
2013	8	14	-	converted from PM2.5	2013	COLD LAKE	Canada
2013	6	11	-	converted from PM2.5	2013	CORNER BROOK	Canada
2013	8	14	-	converted from PM2.5	2013	CORNWALL	Canada
2013	17	30	-	converted from PM2.5	2013	COURTENAY	Canada
2013	7	12	-	converted from PM2.5	2013	DARTMOUTH	Canada
2013	6	11	-	converted from PM2.5	2013	DELTA	Canada
2013	7	12	-	converted from PM2.5	2013	DESCHAMBAULT	Canada
2013	5	9	-	converted from PM2.5	2013	DORSET	Canada
2013	9	16	-	converted from PM2.5	2013	DUNCAN	Canada
2013	8	15	"2 stations, NA"	measured data	2013	EDMONTON	Canada
2013	5	9	-	converted from PM2.5	2013	ELK ISLAND	Canada
2013	5	9	-	converted from PM2.5	2013	FERME NEUVE	Canada
2013	5	13	"1 station, NA"	measured data	2013	FLIN FLON	Canada
2013	6	11	-	converted from PM2.5	2013	FORT MACKAY	Canada
2013	7	11	-	converted from PM2.5	2013	FORT MCMURRAY	Canada
2013	7	12	-	converted from PM2.5	2013	FORT SASKATCHEWAN	Canada
2013	10	18	"1 station, NA"	measured data	2013	FORT ST. JOHN	Canada
2013	4	7	-	converted from PM2.5	2013	FREDERICTON	Canada
2013	9	16	-	converted from PM2.5	2013	GATINEAU	Canada
2013	7	12	-	converted from PM2.5	2013	GRAND BEND	Canada
2013	5	9	-	converted from PM2.5	2013	GRAND FALLS - WINDSOR	Canada
2013	6	11	-	converted from PM2.5	2013	GRANDE PRAIRIE	Canada
2013	8	14	-	converted from PM2.5	2013	GUELPH	Canada
2013	5	12	"1 station, NA"	measured data	2013	HALIFAX	Canada
2013	10	16	"1 station, NA"	measured data	2013	HAMILTON	Canada
2013	5	9	"1 station, NA"	measured data	2013	HOPE	Canada
2013	9	16	"1 station, NA"	measured data	2013	HOUSTON	Canada
2013	9	16	-	converted from PM2.5	2013	KAMLOOPS	Canada
2013	6	11	-	converted from PM2.5	2013	KINGSTON	Canada
2013	9	15	-	converted from PM2.5	2013	KITCHENER	Canada
2013	5	9	-	converted from PM2.5	2013	LA DORE	Canada
2013	5	9	-	converted from PM2.5	2013	LA PATRIE	Canada
2013	5	9	-	converted from PM2.5	2013	LA PECHE	Canada
2013	4	7	-	converted from PM2.5	2013	LAC-EDOUARD	Canada
2013	7	12	-	converted from PM2.5	2013	LAMONT	Canada
2013	6	10	"1 station, NA"	measured data	2013	LANGDALE	Canada
2013	6	11	"1 station, NA"	measured data	2013	LANGLEY	Canada
2013	9	16	-	converted from PM2.5	2013	LAVAL	Canada
2013	10	18	-	converted from PM2.5	2013	LEMIEUX	Canada
2013	9	16	-	converted from PM2.5	2013	LONDON	Canada
2013	9	15	-	converted from PM2.5	2013	LONGUEUIL	Canada
2013	8	14	-	converted from PM2.5	2013	MISSISSAUGA	Canada
2013	6	11	-	converted from PM2.5	2013	MONCTON	Canada
2013	10	16	"3 stations, NA"	measured data	2013	MONTREAL	Canada
2013	7	12	-	converted from PM2.5	2013	MORRISBURG	Canada
2013	6	11	-	converted from PM2.5	2013	MOUNT PEARL	Canada
2013	6	10	"1 station, NA"	measured data	2013	NANAIMO	Canada
2013	7	13	"1 station, NA"	measured data	2013	NELSON	Canada
2013	7	12	-	converted from PM2.5	2013	NEWMARKET	Canada
2013	3	5	-	converted from PM2.5	2013	NORMAN WELLS	Canada
2013	5	9	-	converted from PM2.5	2013	NORTH BAY	Canada
2013	6	10	-	converted from PM2.5	2013	NORTH VANCOUVER	Canada
2013	5	9	-	converted from PM2.5	2013	NOTRE-DAME-DU-ROSAIRE	Canada
2013	8	14	-	converted from PM2.5	2013	OAKVILLE	Canada
2013	7	12	-	converted from PM2.5	2013	OSHAWA	Canada
2013	7	11	"1 station, NA"	measured data	2013	OTTAWA	Canada
2013	6	11	-	converted from PM2.5	2013	PARRY SOUND	Canada
2013	5	9	-	converted from PM2.5	2013	PETAWAWA	Canada
2013	7	12	-	converted from PM2.5	2013	PETERBOROUGH	Canada
2013	7	12	-	converted from PM2.5	2013	PICTOU	Canada
2013	8	14	-	converted from PM2.5	2013	PORT ALBERNI	Canada
2013	6	11	-	converted from PM2.5	2013	PORT HAWKESBURY	Canada
2013	6	11	"1 station, NA"	measured data	2013	PORT MOODY	Canada
2013	7	12	-	converted from PM2.5	2013	PORT STANLEY	Canada
2013	4	7	"1 station, NA"	measured data	2013	POWELL RIVER	Canada
2013	9	15	"3 stations, NA"	measured data	2013	PRINCE GEORGE	Canada
2013	9	18	"1 station, NA"	measured data	2013	QUEBEC	Canada
2013	9	15	"3 stations, NA"	measured data	2013	QUESNEL	Canada
2013	14	25	"1 station, NA"	measured data	2013	REGINA	Canada
2013	7	12	-	converted from PM2.5	2013	RICHMOND	Canada
2013	7	12	-	converted from PM2.5	2013	ROUYN-NORANDA	Canada
2013	6	11	-	converted from PM2.5	2013	SAGUENAY	Canada
2013	7	8	"1 station, NA"	measured data	2013	SAINT JOHN	Canada
2013	5	9	-	converted from PM2.5	2013	SAINT-FAUSTIN-LAC-CARRE	Canada
2013	7	12	-	converted from PM2.5	2013	SAINT-JEAN-SUR-RICHELIEU	Canada
2013	9	16	-	converted from PM2.5	2013	SAINT-SIMON	Canada
2013	8	14	-	converted from PM2.5	2013	SAINT-ZEPHIRIN-DE-COURVAL	Canada
2013	8	14	-	converted from PM2.5	2013	SARNIA	Canada
2013	9	16	"1 station, NA"	measured data	2013	SASKATOON	Canada
2013	6	11	-	converted from PM2.5	2013	SAULT STE. MARIE	Canada
2013	5	9	-	converted from PM2.5	2013	SENNETERRE	Canada
2013	8	14	-	converted from PM2.5	2013	SHERBROOKE	Canada
2013	8	14	-	converted from PM2.5	2013	SIMCOE	Canada
2013	7	12	-	converted from PM2.5	2013	ST. ANDREWS	Canada
2013	8	14	-	converted from PM2.5	2013	ST. CATHARINES	Canada
2013	5	9	-	converted from PM2.5	2013	ST. JOHN'S	Canada
2013	4	7	-	converted from PM2.5	2013	ST-HILAIRE-DE-DORSET	Canada
2013	5	9	-	converted from PM2.5	2013	STUKELY-SUD	Canada
2013	6	11	-	converted from PM2.5	2013	SUDBURY	Canada
2013	7	12	-	converted from PM2.5	2013	SURREY	Canada
2013	6	11	-	converted from PM2.5	2013	SYDNEY	Canada
2013	9	15	"1 station, NA"	measured data	2013	TERRACE	Canada
2013	4	12	"1 station, NA"	measured data	2013	THOMSON	Canada
2013	6	11	-	converted from PM2.5	2013	THUNDER BAY	Canada
2013	7	12	-	converted from PM2.5	2013	TINGWICK	Canada
